"condName","belief_avg","WEPT_max","policy_avg","MacArthur_SES","Share","country","Gender","Age","Education.2","Politics2_1","Politics2_9","Income"
"PsychDistance",100,8,99.3333333333333,5,1,"canada",1,24,3,6,13,6
"SystemJust",90.25,3,67.5555555555556,7,2,"canada",1,23,2,34,35,5
"NegativeEmotions",68,8,80.1111111111111,3,1,"canada",2,44,2,49,49,3
"BindingMoral",100,8,70.4444444444444,3,1,"canada",2,24,2,33,38,3
"SciConsens",79.75,2,47.7777777777778,4,0,"canada",2,32,2,25,35,6
"NegativeEmotions",100,8,91.7777777777778,2,1,"canada",1,58,3,12,13,2
"BindingMoral",62.75,8,31.4444444444444,5,1,"canada",2,21,3,52,51,4
"SystemJust",60.75,8,43.7777777777778,3,0,"canada",2,63,2,50,50,5
"PsychDistance",93.75,8,61.1111111111111,3,0,"canada",2,44,3,22,44,3
"SciConsens",46.5,8,44.7777777777778,3,0,"canada",2,53,2,NA,NA,9
"DynamicNorm",28.5,8,46.8888888888889,3,0,"canada",1,70,3,91,90,5
"Control",100,8,93.7777777777778,7,0,"canada",2,22,3,10,28,5
"CollectAction",89.75,0,54.6666666666667,1,0,"canada",1,18,2,NA,NA,4
"FutureSelfCont",59.25,0,36.8888888888889,5,1,"canada",1,30,5,53,52,1
"CollectAction",100,8,72.7777777777778,6,2,"canada",1,27,3,50,49,5
"SystemJust",96.5,3,91.7777777777778,8,1,"canada",1,53,3,22,72,6
"Identity-Social-Norms-Intervention",4.25,0,16.8888888888889,5,0,"canada",2,34,3,100,100,5
"PluralIgnorance",91.5,8,79.1111111111111,3,1,"canada",2,65,3,49,52,4
"Letter2Future",95.75,8,75,4,1,"canada",2,36,2,55,54,5
"PluralIgnorance",80.5,8,60,5,1,"canada",1,41,3,24,49,4
"DynamicNorm",98.25,0,55.5555555555556,7,0,"canada",2,50,3,33,37,7
"CollectAction",84,0,61.3333333333333,6,1,"canada",2,33,3,11,15,6
"Identity-Social-Norms-Intervention",100,8,97.3333333333333,5,0,"canada",2,52,3,22,36,5
"SciConsens",100,8,77.1111111111111,5,0,"canada",1,44,3,20,28,9
